suburb,origin_quarter,horizon,actual,naive,seasonal_naive,sarima,prophet
EPPING,2024-07-01,4,-3.030303030303028,4.093567251461994,3.841463414634138,0.1402859309983717,-6.66261801308235
EPPING,2025-04-01,1,-3.030303030303028,-17.500000000000004,4.093567251461994,-4.332369399043789,-6.2425504574742625
EPPING,2025-04-01,2,4.545454545454541,-17.500000000000004,4.093567251461994,-1.0506745878102388,5.636986227482979
EPPING,2025-04-01,3,-1.0869565217391353,-17.500000000000004,4.093567251461994,0.3103059259033701,-0.6465600176497688
EPPING,2025-04-01,4,17.03296703296704,-17.500000000000004,4.093567251461994,-0.3738375654771505,-2.6882052975444166
AUBURN,2020-10-01,1,6.904761904761902,-0.7874015748031482,4.784688995215314,-0.5959943286421823,-14.831209355010301
AUBURN,2020-10-01,2,-2.3014105419450592,-0.7874015748031482,4.784688995215314,0.08765909998507379,-4.620573881132773
AUBURN,2020-10-01,3,3.039513677811545,-0.7874015748031482,4.784688995215314,0.6762369985985526,-1.837329581917298
AUBURN,2020-10-01,4,12.831858407079654,-0.7874015748031482,4.784688995215314,-0.06412477191865824,-3.9275878479941193
AUBURN,2021-07-01,1,12.831858407079654,3.039513677811545,-0.7874015748031482,0.4647484367589926,-1.497573147155002
AUBURN,2021-07-01,2,-8.496732026143794,3.039513677811545,-0.7874015748031482,-1.9071948888590222,-1.0365407282620822
AUBURN,2021-07-01,3,-7.857142857142863,3.039513677811545,-0.7874015748031482,0.6449481701538498,2.106091768846916
AUBURN,2021-07-01,4,-9.302325581395356,3.039513677811545,-0.7874015748031482,-0.8107561756716881,-1.0315991599991987
AUBURN,2022-04-01,1,-9.302325581395356,-7.857142857142863,3.039513677811545,-0.7099655036276453,-1.609452563451113
AUBURN,2022-04-01,2,5.982905982905984,-7.857142857142863,3.039513677811545,-3.4723000196057616,0.2068503027376094
AUBURN,2022-04-01,3,-2.0161290322580627,-7.857142857142863,3.039513677811545,2.302100614533849,1.8252384236769519
AUBURN,2022-04-01,4,-1.2345679012345734,-7.857142857142863,3.039513677811545,2.0508005656812434,3.998347473531463
AUBURN,2023-01-01,1,-1.2345679012345734,-2.0161290322580627,-7.857142857142863,1.4039882764743206,3.413184181012321
AUBURN,2023-01-01,2,8.333333333333325,-2.0161290322580627,-7.857142857142863,1.9741198749653783,-5.723552873744423
AUBURN,2023-01-01,3,1.2307692307692353,-2.0161290322580627,-7.857142857142863,-1.2514744300480443,0.46006814916377703
AUBURN,2023-01-01,4,0.3039513677811634,-2.0161290322580627,-7.857142857142863,0.42459071039051866,4.898786915847606
AUBURN,2023-10-01,1,0.3039513677811634,1.2307692307692353,-2.0161290322580627,2.4681355065409156,5.653798758455623
AUBURN,2023-10-01,2,-9.24242424242424,1.2307692307692353,-2.0161290322580627,-1.3834492920389694,-8.576937853949058
AUBURN,2023-10-01,3,9.766277128547586,1.2307692307692353,-2.0161290322580627,-0.31228701821116067,-0.6634425260938857
AUBURN,2023-10-01,4,-5.703422053231943,1.2307692307692353,-2.0161290322580627,-1.1924046628964682,-1.441472934775477
AUBURN,2024-07-01,1,-5.703422053231943,9.766277128547586,1.2307692307692353,-1.0170118727053954,-1.1600973083374182
AUBURN,2024-07-01,2,3.2258064516129004,9.766277128547586,1.2307692307692353,0.2786171931829563,-8.007813359101004
AUBURN,2024-07-01,3,6.25,9.766277128547586,1.2307692307692353,1.2232280438471617,-5.26483667370172
AUBURN,2024-07-01,4,9.191176470588225,9.766277128547586,1.2307692307692353,-1.3761245065812533,0.0817600592501222
AUBURN,2025-04-01,1,9.191176470588225,6.25,9.766277128547586,-4.093824032531738,1.1737361360999623
AUBURN,2025-04-01,2,-0.8754208754208737,6.25,9.766277128547586,-0.8601359273457557,-0.39166014440279584
AUBURN,2025-04-01,3,-8.288043478260864,6.25,9.766277128547586,-1.3654619232765737,-1.7631333887104723
AUBURN,2025-04-01,4,-6.666666666666665,6.25,9.766277128547586,-1.3729358729037864,0.0947131047437213
