suburb,region,origin_idx,horizon,actual,prophet
BELLA VISTA,sydney,46,1,-7.346938775510203,2.158004170680086
BELLA VISTA,sydney,46,2,26.651982378854623,4.32456031500644
BELLA VISTA,sydney,46,3,0.8695652173912993,8.47223974972365
BELLA VISTA,sydney,46,4,-7.413793103448274,-0.7808557256067821
WENTWORTH FALLS,sydney,28,1,6.41025641025641,-10.333791522366083
WENTWORTH FALLS,sydney,28,2,2.108433734939763,-4.5854495250997545
WENTWORTH FALLS,sydney,28,3,1.474926253687325,5.8005702497619565
WENTWORTH FALLS,sydney,28,4,26.74418604651163,4.373425699887594
WENTWORTH FALLS,sydney,34,1,-20.52951388888889,11.735432912266887
WENTWORTH FALLS,sydney,34,2,23.429819770617154,5.713128824515098
WENTWORTH FALLS,sydney,34,3,-19.91150442477876,7.3808919200747685
WENTWORTH FALLS,sydney,34,4,4.972375690607733,4.970499558035533
WENTWORTH FALLS,sydney,40,1,3.3527696793002937,3.0948152149045516
WENTWORTH FALLS,sydney,40,2,-5.218617771509171,-5.262215111139456
WENTWORTH FALLS,sydney,40,3,19.047619047619047,2.088193564216025
WENTWORTH FALLS,sydney,40,4,-9.499999999999996,13.442635028990312
WENTWORTH FALLS,sydney,46,1,11.707841031149302,4.333680947936572
WENTWORTH FALLS,sydney,46,2,0.961538461538458,5.9915392556669795
WENTWORTH FALLS,sydney,46,3,-1.4285714285714235,-2.127019323095169
WENTWORTH FALLS,sydney,46,4,13.526570048309171,-0.4433362313914857
CRONULLA,sydney,28,1,7.540983606557372,21.413129164157173
CRONULLA,sydney,28,2,23.983739837398367,-12.109145197829209
CRONULLA,sydney,28,3,-5.860655737704922,17.456592036188496
CRONULLA,sydney,28,4,11.536787113626469,-9.622069310340475
CRONULLA,sydney,34,1,3.333333333333344,17.999699937040493
CRONULLA,sydney,34,2,0.8064516129032251,-0.28917274399619153
CRONULLA,sydney,34,3,-18.600000000000005,9.04068514607182
CRONULLA,sydney,34,4,16.46191646191646,2.5514295153058457
CRONULLA,sydney,40,1,-14.866369783675117,0.8034842748514226
CRONULLA,sydney,40,2,-3.474903474903479,-13.54817125766634
CRONULLA,sydney,40,3,10.000000000000009,8.159158378069444
CRONULLA,sydney,40,4,-21.6,-15.155727029619028
CRONULLA,sydney,46,1,-9.090909090909092,11.519938359351565
CRONULLA,sydney,46,2,22.2,-8.146051650945205
CRONULLA,sydney,46,3,-2.2913256955810146,9.579207607646339
CRONULLA,sydney,46,4,-12.897822445561136,-0.5005234385032669
ELIZABETH BAY,sydney,28,1,75.91623036649216,23.70581731165456
ELIZABETH BAY,sydney,28,2,-19.217687074829936,-4.126015095291464
ELIZABETH BAY,sydney,28,3,2.368421052631575,-0.6783556042033778
ELIZABETH BAY,sydney,28,4,25.96401028277635,-6.801629605100148
ELIZABETH BAY,sydney,34,1,-30.57851239669421,-3.3469247323522993
ELIZABETH BAY,sydney,34,2,42.85714285714286,7.993269153701977
ELIZABETH BAY,sydney,34,3,-31.000000000000007,14.83937114910882
ELIZABETH BAY,sydney,34,4,21.980676328502422,2.757929939095561
ELIZABETH BAY,sydney,40,1,16.740331491712702,-6.253800261508918
ELIZABETH BAY,sydney,40,2,9.32323710364411,-7.495722869898646
ELIZABETH BAY,sydney,40,3,32.03463203463204,5.714899820736898
ELIZABETH BAY,sydney,40,4,-14.754098360655744,-4.401721318590518
ELIZABETH BAY,sydney,46,1,6.315789473684208,2.312036902002035
ELIZABETH BAY,sydney,46,2,3.4653465346534684,0.15205353863346183
ELIZABETH BAY,sydney,46,3,-11.483253588516751,11.290816893237999
ELIZABETH BAY,sydney,46,4,4.054054054054057,2.6520274040149623
CANLEY HEIGHTS,sydney,28,1,-7.831325301204817,13.854900906033162
CANLEY HEIGHTS,sydney,28,2,16.601307189542492,3.238365539267321
CANLEY HEIGHTS,sydney,28,3,-3.139013452914796,-1.6339271805524826
CANLEY HEIGHTS,sydney,28,4,6.481481481481488,-3.9878790358754794
CANLEY HEIGHTS,sydney,34,1,-6.25,0.08070442441084147
CANLEY HEIGHTS,sydney,34,2,-4.61538461538461,-3.691103231207899
CANLEY HEIGHTS,sydney,34,3,9.139784946236553,-2.6310953759472078
CANLEY HEIGHTS,sydney,34,4,-6.403940886699511,-2.6807409495083827
CANLEY HEIGHTS,sydney,40,1,11.5,-5.293737471557761
CANLEY HEIGHTS,sydney,40,2,-1.3452914798206317,9.730382661928038
CANLEY HEIGHTS,sydney,40,3,4.545454545454541,-4.383581407792698
CANLEY HEIGHTS,sydney,40,4,11.739130434782608,-1.3269313792219126
CANLEY HEIGHTS,sydney,46,1,17.07317073170731,-0.7680060719229158
CANLEY HEIGHTS,sydney,46,2,-7.604166666666668,-0.18451777944754966
CANLEY HEIGHTS,sydney,46,3,21.00714017286733,1.754271788277717
CANLEY HEIGHTS,sydney,46,4,4066.6666666666665,0.581738615681834
SEVEN HILLS,sydney,28,1,6.925481841943082,-2.9536449501207978
SEVEN HILLS,sydney,28,2,9.615210243836405,-5.0163053381612155
SEVEN HILLS,sydney,28,3,3.116147308781869,5.82931601105043
SEVEN HILLS,sydney,28,4,10.054945054945064,0.12546226888421674
SEVEN HILLS,sydney,34,1,-9.41463414634146,7.046636293714398
SEVEN HILLS,sydney,34,2,-35.37964458804523,3.1288125209678506
