suburb,region,origin_idx,horizon,actual,naive,seasonal_naive,sarima
GREENWICH,sydney,36,2,30.975274725274726,-27.39510387686209,-29.343629343629345,4.130761582282857
GREENWICH,sydney,36,3,130.72889355007865,-27.39510387686209,-29.343629343629345,-6.03491725949953
GREENWICH,sydney,36,4,-64.43181818181817,-27.39510387686209,-29.343629343629345,2.126823584444285
GREENWICH,sydney,40,1,197.2523961661342,-64.43181818181817,-46.66666666666666,16.0092123498996
GREENWICH,sydney,40,2,-60.7201203783319,-64.43181818181817,-46.66666666666666,-3.534781030553429
GREENWICH,sydney,40,3,45.296338860614014,-64.43181818181817,-46.66666666666666,-4.144082497751952
GREENWICH,sydney,40,4,54.425612052730685,-64.43181818181817,-46.66666666666666,2.1773860216245313
GREENWICH,sydney,44,1,64.14634146341463,54.425612052730685,197.2523961661342,-32.71544951379802
GREENWICH,sydney,44,2,-47.84546805349182,54.425612052730685,197.2523961661342,10.981043985964273
GREENWICH,sydney,44,3,-33.21937321937322,54.425612052730685,197.2523961661342,-5.907260235548393
GREENWICH,sydney,44,4,8.617747440273039,54.425612052730685,197.2523961661342,-3.705620964111588
GREGORY HILLS,sydney,28,1,13.358778625954203,-2.3117076808351955,-1.1904761904761862,0.5464410588799357
GREGORY HILLS,sydney,28,2,1.346801346801341,-2.3117076808351955,-1.1904761904761862,0.782948138697782
GREGORY HILLS,sydney,28,3,6.312292358803995,-2.3117076808351955,-1.1904761904761862,0.11072440725755558
GREGORY HILLS,sydney,28,4,13.812500000000004,-2.3117076808351955,-1.1904761904761862,-0.12281948013069433
GREGORY HILLS,sydney,32,1,3.2399780340472306,13.812500000000004,13.358778625954203,-1.4111232616932867
GREGORY HILLS,sydney,32,2,7.978723404255317,13.812500000000004,13.358778625954203,-0.10464873359548753
GREGORY HILLS,sydney,32,3,-17.635467980295573,13.812500000000004,13.358778625954203,-0.3888200109383269
GREGORY HILLS,sydney,32,4,-5.502392344497609,13.812500000000004,13.358778625954203,-0.8490696511235428
GREGORY HILLS,sydney,36,1,17.08860759493671,-5.502392344497609,3.2399780340472306,-0.5215613251773188
GREGORY HILLS,sydney,36,2,-0.540540540540535,-5.502392344497609,3.2399780340472306,-1.1984848524667921
GREGORY HILLS,sydney,36,3,-7.608695652173914,-5.502392344497609,3.2399780340472306,2.6470451508076644
GREGORY HILLS,sydney,36,4,10.176470588235295,-5.502392344497609,3.2399780340472306,0.8259034371506406
GREGORY HILLS,sydney,40,1,1.5483182060864964,10.176470588235295,17.08860759493671,-1.2875037347451253
